Date,VIX,timestamp
2025-05-08 00:00:00-05:00,22.479999542236328,2025-06-07 17:18:26
2025-05-09 00:00:00-05:00,21.899999618530273,2025-06-07 17:18:26
2025-05-12 00:00:00-05:00,18.389999389648438,2025-06-07 17:18:26
2025-05-13 00:00:00-05:00,18.219999313354492,2025-06-07 17:18:26
2025-05-14 00:00:00-05:00,18.6200008392334,2025-06-07 17:18:26
2025-05-15 00:00:00-05:00,17.829999923706055,2025-06-07 17:18:26
2025-05-16 00:00:00-05:00,17.239999771118164,2025-06-07 17:18:26
2025-05-19 00:00:00-05:00,18.139999389648438,2025-06-07 17:18:26
2025-05-20 00:00:00-05:00,18.09000015258789,2025-06-07 17:18:26
2025-05-21 00:00:00-05:00,20.8700008392334,2025-06-07 17:18:26
2025-05-22 00:00:00-05:00,20.280000686645508,2025-06-07 17:18:26
2025-05-23 00:00:00-05:00,22.290000915527344,2025-06-07 17:18:26
2025-05-27 00:00:00-05:00,18.959999084472656,2025-06-07 17:18:26
2025-05-28 00:00:00-05:00,19.309999465942383,2025-06-07 17:18:26
2025-05-29 00:00:00-05:00,19.18000030517578,2025-06-07 17:18:26
2025-05-30 00:00:00-05:00,18.56999969482422,2025-06-07 17:18:26
2025-06-02 00:00:00-05:00,18.360000610351562,2025-06-07 17:18:26
2025-06-03 00:00:00-05:00,17.690000534057617,2025-06-07 17:18:26
2025-06-04 00:00:00-05:00,17.610000610351562,2025-06-07 17:18:26
2025-06-05 00:00:00-05:00,18.479999542236328,2025-06-07 17:18:26
2025-06-06 00:00:00-05:00,16.770000457763672,2025-06-07 17:18:26
